id,czech,translation,pronunciation,audio,sequence,level_id,part_id,language_id
10591,záblesk,glimpse,ɡlˈɪmps,glimpse,2752,4,,1
10592,záblesk,glint,ɡlˈɪnt,glint,2753,4,,1
10593,výběr,pick,pˈɪk,pick,2754,4,,1
10594,fyzika,physics,fˈɪzɪks,physics,2755,4,,1
10595,globální,global,ɡlˈoʊbəl,global,2756,4,,1
10596,uspořádání,arrangement,ɚɹˈeɪndʒmənt,arrangement,2757,4,,1
10597,pohlédnout,glance,ɡlˈæns,glance,2758,4,,1
10598,pohled,glance,ɡlˈæns,glance,2759,4,,1
10599,oddělit,separate,sˈɛpɹət,separate,2760,4,,1
10600,oddělení,separation,sˌɛpɚɹˈeɪʃən,separation,2761,4,,1
10601,polštář,pillow,pˈɪloʊ,pillow,2762,4,,1
10602,borovice,pine,pˈaɪn,pine,2763,4,,1
10603,šiška,pine,pˈaɪn,pine,2764,4,,1
10604,ananas,pineapple,pˈaɪnæpəl,pineapple,2765,4,,1
10605,vážné,serious,sˈɪɹiəs,serious,2766,4,,1
10606,zeměpis,geography,dʒɪˈɑːɡɹəfi,geography,2767,4,,1
10607,zeměpisné,geographical,dʒˌɪəɡɹˈæfɪkəl,geographical,2768,4,,1
10608,geologie,geology,dʒɪˈɑːlədʒi,geology,2769,4,,1
10609,gesto,gesture,dʒˈɛstʃɚ,gesture,2770,4,,1
10610,mezera,gap,ɡˈæp,gap,2771,4,,1
10611,připíchnout,pin,pˈɪn,pin,2772,4,,1
10612,obří,giant,dʒˈaɪənt,giant,2773,4,,1
10613,sekvence,sequence,sˈiːkwəns,sequence,2774,4,,1
10614,nadaný,gifted,ɡˈɪftᵻd,gifted,2775,4,,1
10615,chichotat se,giggle,ɡˈɪɡəl,giggle,2776,4,,1
10616,zázvor,ginger,dʒˈɪndʒɚ,ginger,2777,4,,1
10617,žirafa,giraffe,dʒᵻɹˈæf,giraffe,2778,4,,1
10618,zrudnout,blush,blˈʌʃ,blush,2779,4,,1
10619,nalodit se,board,bˈɔːɹd,board,2780,4,,1
10620,pocit,sensation,sɛnsˈeɪʃən,sensation,2781,4,,1
10621,příchod,arrival,ɚɹˈaɪvəl,arrival,2782,4,,1
10622,příjemně,pleasantly,plˈɛzəntli,pleasantly,2783,4,,1
10623,ostuda,shame,ʃˈeɪm,shame,2784,4,,1
10624,přívětivost,friendliness,fɹˈɛndlinəs,friendliness,2785,4,,1
10625,mít,possess,pəzˈɛs,possess,2786,4,,1
10626,mělký,shallow,ʃˈæloʊ,shallow,2787,4,,1
10627,zdvořile,politely,pəlˈaɪtli,politely,2788,4,,1
10628,majetek,possession,pəzˈɛʃən,possession,2789,4,,1
10629,přivlastňovací,possessive,pəzˈɛsɪv,possessive,2790,4,,1
10630,politika,policy,pˈɑːlɪsi,policy,2791,4,,1
10631,směle,boldly,bˈoʊldli,boldly,2792,4,,1
10632,pól,pole,pˈoʊl,pole,2793,4,,1
10633,mráz,frost,fɹˈɔst,frost,2794,4,,1
10634,zmrazené,frozen,fɹˈoʊzən,frozen,2795,4,,1
10635,možnost,possibility,pˌɑːsəbˈɪlᵻɾi,possibility,2796,4,,1
10636,odvážné,bold,bˈoʊld,bold,2797,4,,1
10637,politik,politician,pˌɑːlɪtˈɪʃən,politician,2798,4,,1
10638,jedovatý,poisonous,pˈɔɪzənəs,poisonous,2799,4,,1
10639,znečišťující látka,pollutant,pəlˈuːtənt,pollutant,2800,4,,1
10640,tvarovar,shape,ʃˈeɪp,shape,2801,4,,1
10641,bombardovat,bomb,bˈɑːm,bomb,2802,4,,1
10642,popcorn,popcorn,pˈɑːpkɔːɹn,popcorn,2803,4,,1
10643,šipka,arrow,ˈæɹoʊ,arrow,2804,4,,1
10644,hanebný,shameful,ʃˈeɪmfəl,shameful,2805,4,,1
10645,svobodně,freely,fɹˈiːli,freely,2806,4,,1
10646,mrazák,freezer,fɹˈiːzɚ,freezer,2807,4,,1
10647,rybník,pond,pˈɑːnd,pond,2808,4,,1
10648,zmrazení,freezing,fɹˈiːzɪŋ,freezing,2809,4,,1
10649,pozitivní,positive,pˈɑːzᵻtˌɪv,positive,2810,4,,1
10650,časté,frequent,fɹˈiːkwənt,frequent,2811,4,,1
10651,frekvence,frequency,fɹˈiːkwənsi,frequency,2812,4,,1
10652,prvňáček,freshman,fɹˈɛʃmən,freshman,2813,4,,1
10653,bomba,bomb,bˈɑːm,bomb,2814,4,,1
10654,pozitivně,positively,pˈɑːzᵻtˌɪvli,positively,2815,4,,1
10655,frustrovaný,frustrated,fɹʌstɹˈeɪɾᵻd,frustrated,2816,4,,1
10656,frustrace,frustration,fɹʌstɹˈeɪʃən,frustration,2817,4,,1
10657,smažit,fry,fɹˈaɪ,fry,2818,4,,1
10658,vybavit,furnish,fˈɜːnɪʃ,furnish,2819,4,,1
10659,hojnost,plenty,plˈɛnti,plenty,2820,4,,1
10660,vážně,severely,sᵻvˈɪɹli,severely,2821,4,,1
10661,vzdálenější,further,fˈɜːðɚ,further,2822,4,,1
10662,umělec,artist,ˈɑːɹɾɪst,artist,2823,4,,1
10664,dále,furthermore,fˌɜːðɚmˈɔːɹ,furthermore,2824,4,,1
10665,nejdále,furthest,fˈɜːðɪst,furthest,2825,4,,1
10666,povyk,fuss,fˈʌs,fuss,2826,4,,1
10667,těžké,severe,sᵻvˈɪɹ,severe,2827,4,,1
10668,zisk,gain,ɡˈeɪn,gain,2828,4,,1
10669,potěšit,please,plˈiːz,please,2829,4,,1
10670,získat,gain,ɡˈeɪn,gain,2830,4,,1
10671,žluč,gall,ɡˈɔːl,gall,2831,4,,1
10672,umělecký,artistic,ɑːɹtˈɪstɪk,artistic,2832,4,,1
10673,hrnec,pot,pˈɑːt,pot,2833,4,,1
10674,zástrčka,plug,plˈʌɡ,plug,2834,4,,1
10675,listonoš,postman,pˈoʊstmən,postman,2835,4,,1
13429,sex,sex,sˈɛks,sex,2836,4,,1
10676,jed,poison,pˈɔɪzən,poison,2837,4,,1
10677,pánev,frying pan,fɹˈaɪɪŋ pˈæn,frying_pan,2838,4,,1
10678,palivo,fuel,fjˈuːəl,fuel,2839,4,,1
10679,stínit,shadow,ʃˈædoʊ,shadow,2840,4,,1
10680,stínový,shadowy,ʃˈædoʊi,shadowy,2841,4,,1
10681,tečka,full stop,fˈʊl stˈɑːp,full_stop,2842,4,,1
10682,na plný úvazek,full-time,fˈʊltˈaɪm,fulltime,2843,4,,1
10683,galon,gallon,ɡˈælən,gallon,2844,4,,1
10684,poezie,poetry,pˈoʊɪtɹi,poetry,2845,4,,1
10685,funkce,function,fˈʌŋkʃən,function,2846,4,,1
10686,kapesné,pocket money,pˈɑːkɪt mˈʌni,pocket_money,2847,4,,1
10687,fond,fund,fˈʌnd,fund,2848,4,,1
10688,financovat,fund,fˈʌnd,fund,2849,4,,1
10689,pohřeb,funeral,fjˈuːnɚɹəl,funeral,2850,4,,1
10690,pohlednice,postcard,pˈoʊstkɑːɹd,postcard,2851,4,,1
10691,srst,fur,fˈɜː,fur,2852,4,,1
10692,básník,poet,pˈoʊɪt,poet,2853,4,,1
10693,rukopis,handwriting,hˈændɹaɪɾɪŋ,handwriting,2854,4,,1
10694,fráze,phrase,fɹˈeɪz,phrase,2855,4,,1
10695,slavný,glorious,ɡlˈɔːɹiəs,glorious,2856,4,,1
10696,růst,growth,ɡɹˈoʊθ,growth,2857,4,,1
10697,záruka,guarantee,ɡˌæɹəntˈiː,guarantee,2858,4,,1
10698,arašíd,peanut,pˈiːnʌt,peanut,2859,4,,1
10699,stlačit,press,pɹˈɛs,press,2860,4,,1
10700,tisk,press,pɹˈɛs,press,2861,4,,1
10701,sezóna,season,sˈiːzən,season,2862,4,,1
10702,vyhledávat,search,sˈɜːtʃ,search,2863,4,,1
10703,vedení,guidance,ɡˈaɪdəns,guidance,2864,4,,1
10704,asociate,associate,ɐsˈoʊsɪˌeɪt,associate,2865,4,,1
10705,převzít,assume,ɐsˈuːm,assume,2866,4,,1
10706,pozastavit,pause,pˈɔːz,pause,2867,4,,1
10707,vina,guilt,ɡˈɪlt,guilt,2868,4,,1
10708,mořská voda,seawater,sˈiːwɔːɾɚ,seawater,2869,4,,1
10709,vinen,guilty,ɡˈɪlti,guilty,2870,4,,1
10710,mořské řasy,seaweed,sˈiːwiːd,seaweed,2871,4,,1
10711,seskupení,grouping,ɡɹˈuːpɪŋ,grouping,2872,4,,1
10712,tajně,secretly,sˈiːkɹᵻtli,secretly,2873,4,,1
10713,prezentace,presentation,pɹˌɛzəntˈeɪʃən,presentation,2874,4,,1
10714,zachovat,preserve,pɹɪzˈɜːv,preserve,2875,4,,1
10715,zachování,preservation,pɹˌɛzɚvˈeɪʃən,preservation,2876,4,,1
10716,zvláštní,peculiar,pɪkjˈuːlɪɹ,peculiar,2877,4,,1
10717,prezident,president,pɹˈɛzɪdənt,president,2878,4,,1
10718,antikvární,second-hand,sˈɛkəndhˈænd,secondhand,2879,4,,1
10719,střední škola,secondary school,sˈɛkəndɚɹi skˈuːl,secondary_school,2880,4,,1
9527,ženich,groom,ɡɹˈuːm,groom,2881,4,,1
10720,přízemí,ground floor,ɡɹˈaʊnd flˈɔːɹ,ground_floor,2882,4,,1
10721,krvácet,bleed,blˈiːd,bleed,2883,4,,1
10722,úzkost,anxiety,æŋzˈaɪəɾi,anxiety,2884,4,,1
10723,pauza,pause,pˈɔːz,pause,2885,4,,1
10724,kytarista,guitarist,ɡɪtˈɑːɹɹɪst,guitarist,2886,4,,1
10725,vzor,pattern,pˈætɚn,pattern,2887,4,,1
10726,částečný úvazek,part-time,pˈɑːɹttˈaɪm,parttime,2888,4,,1
10727,základní škola,primary school,pɹˈaɪmɚɹi skˈuːl,primary_school,2889,4,,1
10728,házená,handball,hˈændbɔːl,handball,2890,4,,1
10729,ruční,hand-held,hˈændhˈɛld,handheld,2891,4,,1
10730,zejména,particularly,pɚtˈɪkjʊlɚli,particularly,2892,4,,1
10731,primitivní,primitive,pɹˈɪmᵻtˌɪv,primitive,2893,4,,1
10732,křičet,scream,skɹˈiːm,scream,2894,4,,1
10733,participium,participle,pɑːɹtˈɪsɪpəl,participle,2895,4,,1
10734,zacházet s,handle,hˈændəl,handle,2896,4,,1
10735,účastnit se,participate,pɑːɹtˈɪsᵻpˌeɪt,participate,2897,4,,1
10736,účastník,participant,pɑːɹtˈɪsɪpənt,participant,2898,4,,1
10737,částečný,partial,pˈɑːɹʃəl,partial,2899,4,,1
10738,podání ruky,handshake,hˈændʃeɪk,handshake,2900,4,,1
10739,zatloukat,hammer,hˈæmɚ,hammer,2901,4,,1
10740,především,primarily,pɹaɪmˈɛɹᵻli,primarily,2902,4,,1
10741,vášeň,passion,pˈæʃən,passion,2903,4,,1
10742,kněz,priest,pɹˈiːst,priest,2904,4,,1
10743,úzkostlivě,anxiously,ˈæŋʃəsli,anxiously,2905,4,,1
10744,hlídka,patrol,pɐtɹˈoʊl,patrol,2906,4,,1
10745,sochařství,sculpture,skˈʌlptʃɚ,sculpture,2907,4,,1
10746,předchozí,previous,pɹˈiːviəs,previous,2908,4,,1
10747,gymnastika,gymnastics,dʒɪmnˈæstɪks,gymnastics,2909,4,,1
10748,pozdrav,greeting,ɡɹˈiːɾɪŋ,greeting,2910,4,,1
10749,trpělivost,patience,pˈeɪʃəns,patience,2911,4,,1
10750,přes,past,pˈæst,past,2912,4,,1
10751,obviňovat,blame,blˈeɪm,blame,2913,4,,1
10752,heslo,password,pˈæswɜːd,password,2914,4,,1
10753,kadeřník,hairdresser,hˈɛɹdɹɛsɚ,hairdresser,2915,4,,1
10754,pas,passport,pˈæspɔːɹt,passport,2916,4,,1
10755,fén,hairdryer,hˈɛɹdɹaɪɚ,hairdryer,2917,4,,1
10756,pasivní,passive,pˈæsɪv,passive,2918,4,,1
10757,stanoviště,habitat,hˈæbɪtˌæt,habitat,2919,4,,1
10758,frázové sloveso,phrasal verb,fɹˈeɪzəl vˈɜːb,phrasal_verb,2920,4,,1
10759,smíchat,blend,blˈɛnd,blend,2921,4,,1
10760,dárek,present,pɹˈɛzənt,present,2922,4,,1
10761,gorila,gorilla,ɡɚɹˈɪlə,gorilla,2923,4,,1
10762,drby,gossip,ɡˈɑːsɪp,gossip,2924,4,,1
10763,přesvědčit,persuade,pɚswˈeɪd,persuade,2925,4,,1
10764,přesvědčivý,persuasive,pɚswˈeɪsɪv,persuasive,2926,4,,1
10765,řídit,govern,ɡˈʌvɚn,govern,2927,4,,1
10766,vybrat,select,sᵻlˈɛkt,select,2928,4,,1
10767,výběr,selection,sᵻlˈɛkʃən,selection,2929,4,,1
10768,guvernér,governor,ɡˈʌvɚnɚ,governor,2930,4,,1
10769,talár,gown,ɡˈaʊn,gown,2931,4,,1
10770,přednost,preference,pɹˈɛfɹəns,preference,2932,4,,1
10771,urvat,grab,ɡɹˈæb,grab,2933,4,,1
10772,osobně,personally,pˈɜːsənəli,personally,2934,4,,1
10773,elegantní,graceful,ɡɹˈeɪsfəl,graceful,2935,4,,1
10774,přiřadit,assign,ɐsˈaɪn,assign,2936,4,,1
10775,úkol,assignment,ɐsˈaɪnmənt,assignment,2937,4,,1
10776,nádherný,gorgeous,ɡˈɔːɹdʒəs,gorgeous,2938,4,,1
10777,zabavit,seize,sˈiːz,seize,2939,4,,1
10778,přízrak,phantom,fˈæntəm,phantom,2940,4,,1
10779,LÉKÁRNA,pharmacy,fˈɑːɹməsi,pharmacy,2941,4,,1
10780,sláva,glory,ɡlˈɔːɹi,glory,2942,4,,1
10781,fotokopie,photocopy,fˈoʊɾəkˌɑːpi,photocopy,2943,4,,1
10782,modlitba,prayer,pɹˈɛɹ,prayer,2944,4,,1
10783,brankář,goalkeeper,ɡˈoʊlkiːpɚ,goalkeeper,2945,4,,1
10784,drahocenný,precious,pɹˈɛʃəs,precious,2946,4,,1
10785,bohyně,goddess,ɡˈɑːdəs,goddess,2947,4,,1
10786,fénix,phoenix,fˈiːnɪks,phoenix,2948,4,,1
10787,filozofie,philosophy,fɪlˈɑːsəfi,philosophy,2949,4,,1
10788,hráč golfu,golfer,ɡˈɑːlfɚ,golfer,2950,4,,1
10789,starožitnost,antique,æntˈiːk,antique,2951,4,,1
10887,samoobsluha,self-service,sˈɛlfsˈɜːvɪs,selfservice,2952,4,,1
10888,filozof,philosopher,fɪlˈɑːsəfɚ,philosopher,2953,4,,1
10889,jev,phenomenon,fɪnˈɑːmɪnən,phenomenon,2954,4,,1
10890,dobrota,goodness,ɡˈʊdnəs,goodness,2955,4,,1
10891,sobecký,selfish,sˈɛlfɪʃ,selfish,2956,4,,1
10892,předpona,prefix,pɹˈiːfɪks,prefix,2957,4,,1
10893,těhotná,pregnant,pɹˈɛɡnənt,pregnant,2958,4,,1
10894,absolvent,graduate,ɡɹˈædʒuːət,graduate,2959,4,,1
10895,graf,graph,ɡɹˈæf,graph,2960,4,,1
10896,grafický,graphic,ɡɹˈæfɪk,graphic,2961,4,,1
10897,grafika,graphics,ɡɹˈæfɪks,graphics,2962,4,,1
10898,zajistit,secure,sᵻkjˈʊɹ,secure,2963,4,,1
10899,zabezpečení,security,sᵻkjˈʊɹɹᵻɾi,security,2964,4,,1
10900,vděčnost,gratitude,ɡɹˈæɾɪtˌuːd,gratitude,2965,4,,1
10901,hrob,grave,ɡɹˈeɪv,grave,2966,4,,1
10902,omáčka,gravy,ɡɹˈeɪvi,gravy,2967,4,,1
10903,roleta,blind,blˈaɪnd,blind,2968,4,,1
10904,předpis,prescription,pɹɪskɹˈɪpʃən,prescription,2969,4,,1
10905,žehnat,bless,blˈɛs,bless,2970,4,,1
10906,požehnání,blessing,blˈɛsɪŋ,blessing,2971,4,,1
10907,pomocný,assistant,ɐsˈɪstənt,assistant,2972,4,,1
10908,antonymum,antonym,ˈæntənˌɪm,antonym,2973,4,,1
10909,přítomnost,presence,pɹˈɛzəns,presence,2974,4,,1
10910,předložka,preposition,pɹˌɛpəzˈɪʃən,preposition,2975,4,,1
10911,připravený,prepared,pɹɪpˈɛɹd,prepared,2976,4,,1
10912,bez peněz,penniless,pˈɛnɪləs,penniless,2977,4,,1
10913,udělit,grant,ɡɹˈænt,grant,2978,4,,1
10914,trvalý,permanent,pˈɜːmənənt,permanent,2979,4,,1
10915,trvale,permanently,pˈɜːmənəntli,permanently,2980,4,,1
10916,promoce,graduation,ɡɹˌædʒuːˈeɪʃən,graduation,2981,4,,1
10917,umělec,performer,pɚfˈɔːɹmɚ,performer,2982,4,,1
10918,blogger,blogger,blˈɑːɡɚ,blogger,2983,4,,1
10919,skleník,greenhouse,ɡɹˈiːnhaʊs,greenhouse,2984,4,,1
10920,blog,blog,blˈɑːɡ,blog,2985,4,,1
10921,předsudek,prejudice,pɹˈɛdʒuːdɪs,prejudice,2986,4,,1
10922,za,per,pˈɜː,per,2987,4,,1
10923,procent,per cent,pɚ sˈɛnt,per_cent,2988,4,,1
10924,pomoc,assistance,ɐsˈɪstəns,assistance,2989,4,,1
10925,příprava,preparation,pɹˌɛpɚɹˈeɪʃən,preparation,2990,4,,1
10926,grant,grant,ɡɹˈænt,grant,2991,4,,1
13430,zablokovat,block,blˈɑːk,block,2992,4,,1
10927,ubytovna,hostel,hˈɑːstəl,hostel,2993,4,,1
10928,kaše,mash,mˈæʃ,mash,2994,4,,1
10929,prosperovat,prosper,pɹˈɑːspɚ,prosper,2995,4,,1
10930,prosperující,prosperous,pɹˈɑːspɚɹəs,prosperous,2996,4,,1
10931,měsíční,monthly,mˈʌnθli,monthly,2997,4,,1
10932,malina,raspberry,ɹˈæsbɛɹi,raspberry,2998,4,,1
10933,liga,league,lˈiːɡ,league,2999,4,,1
10934,netvor,monster,mˈɔnstɚ,monster,3000,4,,1
10935,naklánět se,lean,lˈiːn,lean,3001,4,,1
10936,opakovaně,repeatedly,ɹᵻpˈiːɾᵻdli,repeatedly,3002,4,,1
10937,skok,leap,lˈiːp,leap,3003,4,,1
10938,mnich,monk,mˈʌŋk,monk,3004,4,,1
10939,monitor,monitor,mˈɑːnɪɾɚ,monitor,3005,4,,1
10940,splatit,repay,ɹᵻpˈeɪ,repay,3006,4,,1
10941,kontrolovat,monitor,mˈɑːnɪɾɚ,monitor,3007,4,,1
10942,dovolená,leave,lˈiːv,leave,3008,4,,1
10943,přednáška,lecture,lˈɛktʃɚ,lecture,3009,4,,1
10944,zavazadla,baggage,bˈæɡɪdʒ,baggage,3010,4,,1
10945,molekula,molecule,mˈɑːlɪkjˌuːl,molecule,3011,4,,1
10946,koupat se,bathe,bˈeɪð,bathe,3012,4,,1
10947,památka,monument,mˈɑːnjuːmənt,monument,3013,4,,1
10948,právní,legal,lˈiːɡəl,legal,3014,4,,1
10949,vedoucí,leading,lˈiːdɪŋ,leading,3015,4,,1
10950,vedení,leadership,lˈiːdɚʃˌɪp,leadership,3016,4,,1
10951,komár,mosquito,məskˈiːɾoʊ,mosquito,3017,4,,1
10952,smích,laughter,lˈæftɚ,laughter,3018,4,,1
10953,vypustit,launch,lˈɑːntʃ,launch,3019,4,,1
10954,oznámit,report,ɹᵻpˈɔːɹt,report,3020,4,,1
10955,zákonný,lawful,lˈɔːfəl,lawful,3021,4,,1
10956,klepat,rap,ɹˈæp,rap,3022,4,,1
10957,rychlý,rapid,ɹˈæpɪd,rapid,3023,4,,1
10958,ležet,lay,lˈeɪ,lay,3024,4,,1
10959,navíc,moreover,mɔːɹˈoʊvɚ,moreover,3025,4,,1
10960,vrstva,layer,lˈeɪɚ,layer,3026,4,,1
10961,slanina,bacon,bˈeɪkən,bacon,3027,4,,1
10962,rychle,rapidly,ɹˈæpɪdli,rapidly,3028,4,,1
10963,olovo,lead,lˈiːd,lead,3029,4,,1
10964,morální,moral,mˈɔːɹəl,moral,3030,4,,1
10965,vzácný,rare,ɹˈɛɹ,rare,3031,4,,1
10966,legálně,legally,lˈiːɡəli,legally,3032,4,,1
10967,vlhkost,moisture,mˈɔɪstʃɚ,moisture,3033,4,,1
10968,příděl,ration,ɹˈæʃən,ration,3034,4,,1
10969,lhář,liar,lˈaɪɚ,liar,3035,4,,1
10970,poznámka,remark,ɹᵻmˈɑːɹk,remark,3036,4,,1
10971,porozumění,understanding,ˌʌndɚstˈændɪŋ,understanding,3037,4,,1
10972,nedorozumění,misunderstanding,mɪsˌʌndɚstˈændɪŋ,misunderstanding,3038,4,,1
10973,reagovat,react,ɹɪˈækt,react,3039,4,,1
10974,mlhavý,misty,mˈɪsti,misty,3040,4,,1
10975,osvobodit,liberate,lˈɪbɚɹˌeɪt,liberate,3041,4,,1
10976,osvobození,liberation,lˌɪbɚɹˈeɪʃən,liberation,3042,4,,1
10977,architekt,architect,ˈɑːɹkɪtˌɛkt,architect,3043,4,,1
10979,knihovník,librarian,laɪbɹˈɛɹiən,librarian,3044,4,,1
10980,mise,mission,mˈɪʃən,mission,3045,4,,1
9528,lhát,lie,lˈaɪ,lie,3046,4,,1
10981,plavčík,lifeguard,lˈaɪfɡɑːɹd,lifeguard,3047,4,,1
10982,celoživotní,lifelong,lˈaɪflɔŋ,lifelong,3048,4,,1
10983,váhy,balance,bˈæləns,balance,3049,4,,1
10984,zbytek,remainder,ɹᵻmˈeɪndɚ,remainder,3050,4,,1
10985,výtah,lift,lˈɪft,lift,3051,4,,1
10986,uvést v omyl,mislead,mɪslˈiːd,mislead,3052,4,,1
10987,zarovnat,level,lˈɛvəl,level,3053,4,,1
10988,hlávkový salát,lettuce,lˈɛɾɪs,lettuce,3054,4,,1
10989,pálka,bat,bˈæt,bat,3055,4,,1
11563,mixovací nádoba,mixing bowl,mˈɪksɪŋ bˈoʊl,mixing_bowl,3056,4,,1
11564,proti,anti,ˈæntaɪ,anti,3057,4,,1
11595,upravit,modify,mˈɑːdᵻfˌaɪ,modify,3058,4,,1
11771,obnovit,renew,ɹᵻnˈuː,renew,3059,4,,1
9561,racionální,rational,ɹˈæʃənəl,rational,3060,4,,1
11859,kontrolovat,control,kəntɹˈoʊl,control,3061,4,,1
9564,dálkové ovládání,remote control,ɹᵻmˈoʊt kəntɹˈoʊl,remote_control,3062,4,,1
11948,mírný,moderate,mˈɑːdɚɹət,moderate,3063,4,,1
11949,vzpomínka,remembrance,ɹᵻmˈɛmbɹəns,remembrance,3064,4,,1
11950,mech,moss,mˈɔs,moss,3065,4,,1
11951,modelovat,model,mˈɑːdəl,model,3066,4,,1
11952,délka,length,lˈɛŋθ,length,3067,4,,1
11953,lék,remedy,ɹˈɛmədi,remedy,3068,4,,1
11954,břitva,razor,ɹˈeɪzɚ,razor,3069,4,,1
11955,pekař,baker,bˈeɪkɚ,baker,3070,4,,1
11956,snížit,lessen,lˈɛsən,lessen,3071,4,,1
11957,pekárna,bakery,bˈeɪkɚɹi,bakery,3072,4,,1
11958,dosah,reach,ɹˈiːtʃ,reach,3073,4,,1
11959,poznamenat,remark,ɹᵻmˈɑːɹk,remark,3074,4,,1
11960,pozoruhodný,remarkable,ɹᵻmˈɑːɹkəbəl,remarkable,3075,4,,1
11961,modální,modal,mˈoʊdəl,modal,3076,4,,1
11962,pořadí,rank,ɹˈæŋk,rank,3077,4,,1
11963,vlast,motherland,mˈʌðɜːlənd,motherland,3078,4,,1
11964,pohyb,motion,mˈoʊʃən,motion,3079,4,,1
11965,bez hnutí,motionless,mˈoʊʃənləs,motionless,3080,4,,1
11966,hlídat děti,babysit,bˈeɪbɪsˌɪt,babysit,3081,4,,1
11967,hlídačka,babysitter,bˈeɪbɪsˌɪɾɚ,babysitter,3082,4,,1
11968,železnice,railway,ɹˈeɪlweɪ,railway,3083,4,,1
11969,sval,muscle,mˈʌsəl,muscle,3084,4,,1
11970,vraždit,murder,mˈɜːdɚ,murder,3085,4,,1
11971,vrah,murderer,mˈɜːdɚɹɚ,murderer,3086,4,,1
11972,obyvatel,resident,ɹˈɛzᵻdənt,resident,3087,4,,1
11973,obytný,residential,ɹˌɛzᵻdˈɛnʃəl,residential,3088,4,,1
11974,laskavost,kindness,kˈaɪndnəs,kindness,3089,4,,1
11975,krásně,beautifully,bjˈuːɾɪfəli,beautifully,3090,4,,1
11977,mezek,mule,mjˈuːl,mule,3091,4,,1
11978,rytmus,beat,bˈiːt,beat,3092,4,,1
11979,kotě,kitten,kˈɪʔn̩,kitten,3093,4,,1
11980,bestie,beast,bˈiːst,beast,3094,4,,1
11981,plést,knit,nˈɪt,knit,3095,4,,1
11982,klepat,knock,nˈɑːk,knock,3096,4,,1
9565,srážky,rainfall,ɹˈeɪnfɔːl,rainfall,3097,4,,1
12419,zabíjení,killing,kˈɪlɪŋ,killing,3098,4,,1
12420,železnice,railroad,ɹˈeɪlɹoʊd,railroad,3099,4,,1
12421,dobírat si,kid,kˈɪd,kid,3100,4,,1
12422,džungle,jungle,dʒˈʌŋɡəl,jungle,3101,4,,1
12423,nahý,naked,nˈeɪkᵻd,naked,3102,4,,1
12424,hřebík,nail,nˈeɪl,nail,3103,4,,1
12425,úcta,respect,ɹᵻspˈɛkt,respect,3104,4,,1
12426,zdroj,resource,ɹᵻsˈɔːɹs,resource,3105,4,,1
12427,uchýlit se,resort,ɹᵻzˈɔːɹt,resort,3106,4,,1
12428,mýtus,myth,mˈɪθ,myth,3107,4,,1
12429,spravedlnost,justice,dʒˈʌstɪs,justice,3108,4,,1
12430,rezervovat,reserve,ɹɪzˈɜːv,reserve,3109,4,,1
12431,odhodlání,resolve,ɹᵻzˈɑːlv,resolve,3110,4,,1
12432,varná konvice,kettle,kˈɛɾəl,kettle,3111,4,,1
12433,vzájemné,mutual,mjˈuːtʃuːəl,mutual,3112,4,,1
12434,vztek,rage,ɹˈeɪdʒ,rage,3113,4,,1
12435,klávesnice,keyboard,kˈiːbɔːɹd,keyboard,3114,4,,1
12436,hořčice,mustard,mˈʌstɚd,mustard,3115,4,,1
12437,železniční,rail,ɹˈeɪl,rail,3116,4,,1
12438,kvůli,because of,bɪkˈʌz ʌv,because_of,3117,4,,1
12439,bobr,beaver,bˈiːvɚ,beaver,3118,4,,1
12440,odolat,resist,ɹᵻzˈɪst,resist,3119,4,,1
12441,zvednout,lift,lˈɪft,lift,3120,4,,1
12442,vousy,beard,bˈɪɹd,beard,3121,4,,1
12443,rezerva,reserve,ɹɪzˈɜːv,reserve,3122,4,,1
12444,vyžadovat,require,ɹᵻkwˈaɪɚ,require,3123,4,,1
12445,motto,motto,mˈɑːɾoʊ,motto,3124,4,,1
12446,požadovat,request,ɹᵻkwˈɛst,request,3125,4,,1
12447,motocykl,motorcycle,mˈoʊɾɚsˌaɪkəl,motorcycle,3126,4,,1
12448,motor,motor,mˈoʊɾɚ,motor,3127,4,,1
12449,motiv,motive,mˈoʊɾɪv,motive,3128,4,,1
12450,převážně,largely,lˈɑːɹdʒli,largely,3129,4,,1
12451,pověst,reputation,ɹˌɛpjuːtˈeɪʃən,reputation,3130,4,,1
12452,motivovat,motivate,mˈoʊɾᵻvˌeɪt,motivate,3131,4,,1
12453,motivace,motivation,mˌoʊɾɪvˈeɪʃən,motivation,3132,4,,1
12455,republika,republic,ɹᵻpˈʌblɪk,republic,3133,4,,1
12456,trvat,last,lˈæst,last,3134,4,,1
12457,reprodukovat,reproduce,ɹᵻpɹədˈuːs,reproduce,3135,4,,1
12458,trvalý,lasting,lˈæstɪŋ,lasting,3136,4,,1
12459,zástupce,representative,ɹˌɛpɹᵻzˈɛntətˌɪv,representative,3137,4,,1
12460,opozdilec,latecomer,lˈeɪtkʌmɚ,latecomer,3138,4,,1
12461,v poslední době,lately,lˈeɪtli,lately,3139,4,,1
12462,namontovat,mount,mˈaʊnt,mount,3140,4,,1
12463,pronajímatel,landlord,lˈændlɔːɹd,landlord,3141,4,,1
12464,požadavek,requirement,ɹᵻkwˈaɪɚmənt,requirement,3142,4,,1
12465,záchrana,rescue,ɹˈɛskjuː,rescue,3143,4,,1
